MonitorDate,SiteId,CO,PM10,PM25,SO2,AQI
2020/3/16,70,0.419583333,39.45833333,14.70833333,3.2875,47.754329
2020/3/17,70,0.897916667,46.41666667,22.20833333,1.4,68.39197531
2020/3/18,70,1.286666667,49.54166667,32.16666667,3.483333333,94.20987654
2020/3/19,70,1.336666667,36.41666667,28.75,2.733333333,85.35185185
2020/3/20,70,0.846818182,37.43478261,24.65217391,0.683333333,74.72785829
2020/3/21,70,1.092916667,43,24.04166667,2.470833333,73.14506173
2020/3/22,70,0.86,39.70833333,25.33333333,0.895833333,76.49382716
2020/3/23,70,0.499583333,39.83333333,20.04166667,2.5375,62.77469136
2020/3/24,70,0.44875,31.04166667,12.25,1.179166667,39.77272727
2020/3/25,70,1.114166667,35.08695652,21.08695652,2.766666667,65.48470209
2020/3/26,70,1.02047619,29.47826087,19.63636364,2.195,61.72390572
2020/3/27,70,0.940416667,35.16666667,23.04166667,1.433333333,70.55246914
2020/3/28,70,0.514583333,9.041666667,5.333333333,1.704166667,17.31601732
2020/3/29,70,0.347083333,18.66666667,6.75,1.904166667,21.91558442
2020/3/30,70,0.88,18.20833333,10.04166667,2.795652174,32.60281385
2020/3/31,70,0.810952381,17.56521739,7.260869565,3.645454545,23.57425184
2020/4/1,70,0.525833333,16.26086957,7.173913043,0.395454545,23.29192547
2020/4/2,70,0.411666667,16.91666667,8.208333333,1.591666667,26.6504329
2020/4/3,70,0.460833333,29.45833333,14,1.75,45.45454545
2020/4/4,70,0.414583333,26.08333333,13.33333333,1.436363636,43.29004329
2020/4/5,70,0.35125,34.95833333,16,1.933333333,52.2962963
2020/4/6,70,0.43826087,26.45833333,10.54166667,1.866666667,34.22619048
2020/4/7,70,0.57,16.5,9.333333333,2.120833333,30.3030303
2020/4/8,70,0.560416667,26.16666667,11.16666667,2.458333333,36.25541126
2020/4/9,70,0.577619048,28.75,14.78947368,1.671428571,48.0177717
2020/4/10,70,0.470869565,24.5,12.26086957,1.417391304,39.80801807
2020/4/11,70,0.941666667,31.33333333,19.70833333,2.995833333,61.91049383
2020/4/12,70,0.683333333,26.91666667,13.91666667,1.3625,45.18398268
2020/4/13,70,0.752727273,41.13636364,23.86956522,3.49047619,72.69887279
2020/4/14,70,0.540869565,41.59090909,24.5,1.05,74.33333333
2020/4/15,70,0.949583333,43.75,27.875,1.816666667,83.08333333
2020/4/16,70,0.863636364,36.73913043,22.08695652,2.436363636,68.07729469
2020/4/17,70,1.039583333,38.5,22.54166667,2.141666667,69.25617284
2020/4/18,70,0.824166667,39.375,23.375,1.695833333,71.41666667
2020/4/19,70,0.944166667,34.20833333,23.95833333,1.891666667,72.92901235
2020/4/20,70,0.700833333,27.59090909,17.14285714,1.775,55.25925926
2020/4/21,70,0.952083333,17.66666667,9.291666667,1.7375,30.16774892
2020/4/22,70,0.417083333,6.666666667,3.083333333,1.266666667,10.01082251
2020/4/23,70,0.390833333,17,12.375,1.058333333,40.17857143
2020/4/24,70,0.389565217,14.73913043,9.173913043,1.656521739,29.78543196
2020/4/25,70,0.830833333,19.29166667,9.5,1.29047619,30.84415584
2020/4/26,70,0.81875,19.28571429,12.79166667,2.295833333,41.53138528
2020/4/27,70,0.536956522,17.59090909,8.217391304,2.395652174,26.6798419
2020/4/28,70,0.385,34.125,12.54166667,0.725,40.71969697
2020/4/29,70,0.422083333,34.83333333,15.83333333,0.804166667,51.86419753
2020/4/30,70,0.8325,36.75,20.70833333,1.6375,64.50308642
2020/5/1,70,0.97625,42,25.75,2.004166667,77.57407407
2020/5/2,70,0.9,40,24.66666667,3.6,74.7654321
2020/5/3,70,0.682916667,26.91666667,17.20833333,2.125,55.42901235
2020/5/4,70,1.036521739,32.54166667,16.66666667,1.908695652,54.02469136
2020/5/5,70,0.7725,37.25,23.54166667,1.383333333,71.84876543
2020/5/6,70,0.754583333,24.66666667,12.125,1.991666667,39.36688312
2020/5/7,70,0.756666667,19.625,11.91666667,2.358333333,38.69047619
2020/5/8,70,0.809166667,20.43478261,11.82608696,1.177272727,38.39638622
2020/5/9,70,0.621666667,19.16666667,10.91666667,2.204166667,35.44372294
2020/5/10,70,0.6075,21.13043478,14.04166667,1.495833333,45.58982684
2020/5/11,70,0.582083333,18.16666667,13.69565217,2.05,44.46640316
2020/5/12,70,0.5775,21.375,14.79166667,2.204166667,48.02489177
2020/5/13,70,0.55375,44.2173913,27.04166667,1.379166667,80.92283951
2020/5/14,70,0.850416667,34,23.125,1.1,70.76851852
2020/5/15,70,1.025652174,34.65217391,23.2173913,1.190909091,71.00805153
2020/5/16,70,0.697916667,23.16666667,13.95833333,2.254166667,45.31926407
2020/5/17,70,0.534166667,15.125,6.875,1.608333333,22.32142857
