AQI,AQI.1,AQI.2,AQI.3
0.146558373,0.176800844,0.24787065,28.81493506
0.176800844,0.24787065,0.26904038,25.7034632
0.24787065,0.26904038,0.234261538,83.62345679
0.26904038,0.234261538,0.881669053,77.35802469
0.234261538,0.881669053,0.811636451,47.00734049
0.881669053,0.811636451,0.472388123,42.07251082
0.811636451,0.472388123,0.417228486,41.80194805
0.472388123,0.417228486,0.414204239,54.56481481
0.417228486,0.414204239,0.556862677,32.60281385
0.414204239,0.556862677,0.311379838,48.7012987
0.556862677,0.311379838,0.491322539,54.7808642
0.311379838,0.491322539,0.559277595,43.83116883
0.491322539,0.559277595,0.436886092,41.66666667
0.559277595,0.436886092,0.412692115,15.01623377
0.436886092,0.412692115,0.114803779,51.54012346
0.412692115,0.114803779,0.523053835,58.5617284
0.114803779,0.523053835,0.601538647,57.91358025
0.523053835,0.601538647,0.594293895,73.93880837
0.601538647,0.594293895,0.77341776,89.56481481
0.594293895,0.77341776,0.948079278,65.04320988
0.77341776,0.948079278,0.673986166,84.27160494
0.948079278,0.673986166,0.888913805,24.08008658
0.673986166,0.888913805,0.216116056,15.28679654
0.888913805,0.216116056,0.117828026,13.83399209
0.216116056,0.117828026,0.101589134,24.08008658
0.117828026,0.101589134,0.216116056,32.1969697
0.101589134,0.216116056,0.306843468,80.6969697
0.216116056,0.306843468,0.8489579,91.07246377
0.306843468,0.8489579,0.964931201,49.6482684
0.8489579,0.964931201,0.501907404,30.97943723
0.964931201,0.501907404,0.293234356,33.31451158
0.501907404,0.293234356,0.319334923,33.68506494
0.293234356,0.319334923,0.323476827,33.14393939
0.319334923,0.323476827,0.317428333,29.22077922
0.323476827,0.317428333,0.27357675,24.48593074
0.317428333,0.27357675,0.220652426,34.9025974
0.27357675,0.220652426,0.337085939,53.26851852
0.220652426,0.337085939,0.542373174,57.04938272
0.337085939,0.542373174,0.584634226,63.20679012
0.542373174,0.584634226,0.653459369,76.70987654
0.584634226,0.653459369,0.8043917,55.21296296
0.653459369,0.8043917,0.564107429,58.60869565
0.8043917,0.564107429,0.602063629,42.88419913
0.564107429,0.602063629,0.426301227,22.18614719
0.602063629,0.426301227,0.194946326,45.18398268
0.426301227,0.194946326,0.452007327,34.44381705
0.194946326,0.452007327,0.331957867,29.35606061
0.452007327,0.331957867,0.275088874,33.00865801
0.331957867,0.275088874,0.315916209,58.23765432
0.275088874,0.315916209,0.597916271,76.49382716
0.315916209,0.597916271,0.801976782,63.79388084
0.597916271,0.801976782,0.660021644,36.66125541
0.801976782,0.660021644,0.356743545,72.38888889
0.660021644,0.356743545,0.756093354,60.18209877
0.356743545,0.756093354,0.619650527,38.66587957
0.756093354,0.619650527,0.379150466,70.12037037
0.619650527,0.379150466,0.730736722,62.2345679
0.379150466,0.730736722,0.642592241,54.45679012
0.730736722,0.642592241,0.555655219,29.22077922
0.642592241,0.555655219,0.27357675,37.26708075
0.555655219,0.27357675,0.363515228,23.26839827
0.27357675,0.363515228,0.207043315,43.42532468
0.363515228,0.207043315,0.432349721,33.82034632
0.207043315,0.432349721,0.32498895,67.41975309
0.432349721,0.32498895,0.700550256,29.22077922
0.32498895,0.700550256,0.27357675,74.33333333
0.700550256,0.27357675,0.777827609,29.50310559
0.27357675,0.777827609,0.276732486,60.39814815
0.777827609,0.276732486,0.622065444,52.40432099
0.276732486,0.622065444,0.532713505,36.84359119
0.622065444,0.532713505,0.358781624,46.80735931
0.532713505,0.358781624,0.47015281,55.32098765
0.358781624,0.47015281,0.565314888,47.754329
0.47015281,0.565314888,0.480737674,68.39197531
0.565314888,0.480737674,0.711417384,94.20987654
0.480737674,0.711417384,1,85.35185185
