wind_direct,temperature,rain,humidity,wind_speed,AQI,wind_direct.1,temperature.1,rain.1,humidity.1,wind_speed.1,AQI.1,wind_direct.2,temperature.2,rain.2,humidity.2,wind_speed.2,AQI.2,AQI.3
0.062576189,0.195639364,0,0.798644724,0.062576189,0.146558373,0.0365705,0.384207425,0,0.486931268,0.0365705,0.176800844,0.097848153,0.439402868,0,0.395934172,0.097848153,0.24787065,28.81493506
0.0365705,0.384207425,0,0.486931268,0.0365705,0.176800844,0.097114994,0.439402868,0,0.395934172,0.097114994,0.24787065,0.073893626,0.441170693,0,0.460793804,0.073893626,0.26904038,25.7034632
0.097114994,0.439402868,0,0.395934172,0.097114994,0.24787065,0.073141,0.441170693,0,0.460793804,0.073141,0.26904038,0.068818514,0.488116284,0,0.506292352,0.068818514,0.234261538,83.62345679
0.073141,0.441170693,0,0.460793804,0.073141,0.26904038,0.068061764,0.488116284,0,0.506292352,0.068061764,0.234261538,0.297198538,0.471616578,0,0.573088093,0.297198538,0.881669053,77.35802469
0.068061764,0.488116284,0,0.506292352,0.068061764,0.234261538,0.296627387,0.471616578,0,0.573088093,0.296627387,0.881669053,0.541412911,0.505598114,0,0.501452081,0.541412911,0.811636451,47.00734049
0.296627387,0.471616578,0,0.573088093,0.296627387,0.881669053,0.541040228,0.505598114,0,0.501452081,0.541040228,0.811636451,0.129719854,0.321744255,0,0.512100678,0.129719854,0.472388123,42.07251082
0.541040228,0.505598114,0,0.501452081,0.541040228,0.811636451,0.129012597,0.321744255,0,0.512100678,0.129012597,0.472388123,0.067194478,0.351404439,0,0.438528558,0.067194478,0.417228486,41.80194805
0.129012597,0.321744255,0,0.512100678,0.129012597,0.472388123,0.066436408,0.351404439,0,0.438528558,0.066436408,0.417228486,0.191027203,0.470045178,0,0.509196515,0.191027203,0.414204239,54.56481481
0.066436408,0.351404439,0,0.438528558,0.066436408,0.417228486,0.190369768,0.470045178,0,0.509196515,0.190369768,0.414204239,0.363377994,0.377725398,0,0.655372701,0.363377994,0.556862677,32.60281385
0.190369768,0.470045178,0,0.509196515,0.190369768,0.414204239,0.362860626,0.377725398,0,0.655372701,0.362860626,0.556862677,0.106577345,0.18463956,0.001745201,0.68731849,0.106577345,0.311379838,48.7012987
0.362860626,0.377725398,0,0.655372701,0.362860626,0.556862677,0.10585128,0.18463956,0.001745201,0.68731849,0.10585128,0.311379838,0.099472188,0.193282263,0.043630017,0.770571152,0.099472188,0.491322539,54.7808642
0.10585128,0.18463956,0.001745201,0.68731849,0.10585128,0.311379838,0.098740349,0.193282263,0.043630017,0.770571152,0.098740349,0.491322539,0.255196914,0.276762915,0,0.702807357,0.255196914,0.559277595,43.83116883
0.098740349,0.193282263,0.043630017,0.770571152,0.098740349,0.491322539,0.254591629,0.276762915,0,0.702807357,0.254591629,0.559277595,0.170523752,0.298173247,0,0.757986447,0.170523752,0.436886092,41.66666667
0.254591629,0.276762915,0,0.702807357,0.254591629,0.559277595,0.169849655,0.298173247,0,0.757986447,0.169849655,0.436886092,0.482582217,0.35494009,0,0.707647628,0.482582217,0.412692115,15.01623377
0.169849655,0.298173247,0,0.757986447,0.169849655,0.436886092,0.482161723,0.35494009,0,0.707647628,0.482161723,0.412692115,0.539382866,0.185621685,0.006980803,0.758954501,0.539382866,0.114803779,51.54012346
0.482161723,0.35494009,0,0.707647628,0.482161723,0.412692115,0.539008533,0.185621685,0.006980803,0.758954501,0.539008533,0.114803779,0.1500203,0.118837164,0,0.669893514,0.1500203,0.523053835,58.5617284
0.539008533,0.185621685,0.006980803,0.758954501,0.539008533,0.114803779,0.149329541,0.118837164,0,0.669893514,0.149329541,0.523053835,0.209703613,0.135336869,0.015706806,0.855759923,0.209703613,0.601538647,57.91358025
0.149329541,0.118837164,0,0.669893514,0.149329541,0.523053835,0.209061357,0.135336869,0.015706806,0.855759923,0.209061357,0.601538647,0.176207877,0.189353762,0,0.591481123,0.176207877,0.594293895,73.93880837
0.209061357,0.135336869,0.015706806,0.855759923,0.209061357,0.601538647,0.175538399,0.189353762,0,0.591481123,0.175538399,0.594293895,0.076532684,0.315458653,0,0.431752178,0.076532684,0.77341776,89.56481481
0.175538399,0.189353762,0,0.591481123,0.175538399,0.594293895,0.075782202,0.315458653,0,0.431752178,0.075782202,0.77341776,0.533779943,0.441759969,0,0.4482091,0.533779943,0.948079278,65.04320988
0.075782202,0.315458653,0,0.431752178,0.075782202,0.77341776,0.533401056,0.441759969,0,0.4482091,0.533401056,0.948079278,0.298213561,0.478491456,0,0.572120039,0.298213561,0.673986166,84.27160494
0.533401056,0.441759969,0,0.4482091,0.533401056,0.948079278,0.297643234,0.478491456,0,0.572120039,0.297643234,0.673986166,0.688388145,0.457473974,0,0.778315586,0.688388145,0.888913805,24.08008658
0.297643234,0.478491456,0,0.572120039,0.297643234,0.673986166,0.688134905,0.457473974,0,0.778315586,0.688134905,0.888913805,0.351197726,0.395796504,0,0.851887706,0.351197726,0.216116056,15.28679654
0.688134905,0.457473974,0,0.778315586,0.688134905,0.888913805,0.350670459,0.395796504,0,0.851887706,0.350670459,0.216116056,0.624035729,0.26301316,0.247818499,0.961277832,0.624035729,0.117828026,13.83399209
0.350670459,0.395796504,0,0.851887706,0.350670459,0.216116056,0.623730191,0.26301316,0.247818499,0.961277832,0.623730191,0.117828026,0.657531466,0.12217639,0.019197208,0.805421104,0.657531466,0.101589134,24.08008658
0.623730191,0.26301316,0.247818499,0.961277832,0.623730191,0.117828026,0.657253149,0.12217639,0.019197208,0.805421104,0.657253149,0.101589134,0.212342672,0.094676881,0.006980803,0.708615682,0.212342672,0.216116056,32.1969697
0.657253149,0.12217639,0.019197208,0.805421104,0.657253149,0.101589134,0.21170256,0.094676881,0.006980803,0.708615682,0.21170256,0.216116056,0.330085262,0.01591043,0,0.609874153,0.330085262,0.306843468,80.6969697
0.21170256,0.094676881,0.006980803,0.708615682,0.21170256,0.216116056,0.329540837,0.01591043,0,0.609874153,0.329540837,0.306843468,0.490519691,0.009035553,0,0.259438529,0.490519691,0.8489579,91.07246377
0.329540837,0.01591043,0,0.609874153,0.329540837,0.306843468,0.490105648,0.009035553,0,0.259438529,0.490105648,0.8489579,0.203816484,0.013749754,0,0.281703775,0.203816484,0.964931201,49.6482684
