MonitorDate,SiteId,wind_direct,temperature,rain,humidity,wind_speed,AQI
2020/1/1,70,78.83333333333333,15.733333333333334,0.0,80.875,78.83333333333333,17.857142857142858
2020/1/2,70,73.5,19.733333333333334,0.0,67.45833333333333,73.5,20.562770562770563
2020/1/3,70,85.91666666666667,20.904166666666665,0.0,63.541666666666664,85.91666666666667,26.92099567099567
2020/1/4,70,81.0,20.941666666666666,0.0,66.33333333333333,81.0,28.814935064935064
2020/1/5,70,79.95833333333333,21.9375,0.0,68.29166666666667,79.95833333333333,25.703463203463205
2020/1/6,70,126.83333333333333,21.587500000000002,0.0,71.16666666666667,126.83333333333333,83.62345679012346
2020/1/7,70,176.95833333333334,22.308333333333337,0.0,68.08333333333333,176.95833333333334,77.35802469135803
2020/1/8,70,92.45833333333333,18.408333333333335,0.0,68.54166666666667,92.45833333333333,47.007340485601354
2020/1/9,70,79.625,19.037499999999998,0.0,65.375,79.625,42.07251082251082
2020/1/10,70,105.04166666666667,21.554166666666664,0.0,68.41666666666667,105.04166666666667,41.80194805194805
2020/1/11,70,140.41666666666666,19.59583333333333,0.0,74.70833333333333,140.41666666666666,54.56481481481482
2020/1/12,70,87.70833333333333,15.5,0.2,76.08333333333333,87.70833333333333,32.60281385281385
2020/1/13,70,86.25,15.683333333333335,5.0,79.66666666666667,86.25,48.701298701298704
2020/1/14,70,118.21249999999999,17.454166666666666,0.0,76.75,118.21249999999999,54.78086419753086
2020/1/15,70,100.83333333333333,17.90833333333333,0.0,79.125,100.83333333333333,43.83116883116883
2020/1/16,70,164.88333333333333,19.1125,0.0,76.95833333333333,164.88333333333333,41.66666666666667
2020/1/17,70,176.54166666666666,15.520833333333334,0.8,79.16666666666667,176.54166666666666,15.016233766233766
2020/1/18,70,96.625,14.104166666666666,0.0,75.33333333333333,96.625,51.54012345679013
2020/1/19,70,108.875,14.454166666666667,1.8,83.33333333333333,108.875,58.561728395061735
2020/1/20,70,102.0,15.6,0.0,71.95833333333333,102.0,57.91358024691358
2020/1/21,70,81.54166666666667,18.275000000000002,0.0,65.08333333333333,81.54166666666667,73.93880837359099
2020/1/22,70,175.39166666666665,20.95416666666667,0.0,65.79166666666667,175.39166666666665,89.56481481481482
2020/1/23,70,127.04166666666667,21.733333333333334,0.0,71.125,127.04166666666667,65.04320987654322
2020/1/24,70,207.125,21.287499999999998,0.0,80.0,207.125,84.27160493827161
2020/1/25,70,137.91666666666666,19.979166666666668,0.0,83.16666666666667,137.91666666666666,24.08008658008658
2020/1/26,70,193.91666666666666,17.162499999999998,28.4,87.875,193.91666666666666,15.286796536796535
2020/1/27,70,200.79166666666666,14.174999999999999,2.1999999999999997,81.16666666666667,200.79166666666666,13.83399209486166
2020/1/28,70,109.41666666666667,13.591666666666667,0.8,77.0,109.41666666666667,24.08008658008658
2020/1/29,70,133.58333333333334,11.920833333333334,0.0,72.75,133.58333333333334,32.196969696969695
2020/1/30,70,166.51250000000002,11.775,0.0,57.666666666666664,166.51250000000002,80.6969696969697
2020/1/31,70,107.66666666666667,11.875,0.0,58.625,107.66666666666667,91.07246376811594
2020/2/1,70,100.95833333333333,13.824999999999998,0.0,61.708333333333336,100.95833333333333,49.6482683982684
2020/2/2,70,87.875,17.4,0.0,62.125,87.875,30.979437229437227
2020/2/3,70,95.79166666666667,17.5,0.4,75.0,95.79166666666667,33.31451157538114
2020/2/4,70,183.91666666666666,16.400000000000002,11.8,87.33333333333333,183.91666666666666,33.685064935064936
2020/2/5,70,115.75,15.329166666666666,10.600000000000001,81.375,115.75,33.1439393939394
2020/2/6,70,107.125,19.266666666666666,0.0,73.04166666666667,107.125,29.22077922077922
2020/2/7,70,213.59583333333333,16.45,3.2,83.75,213.59583333333333,24.485930735930737
2020/2/8,70,74.16666666666667,16.066666666666666,0.0,69.08333333333333,74.16666666666667,34.9025974025974
2020/2/9,70,90.79166666666667,14.766666666666666,0.0,73.20833333333333,90.79166666666667,53.26851851851852
2020/2/10,70,87.58333333333333,17.029166666666665,0.0,59.916666666666664,87.58333333333333,57.04938271604938
2020/2/11,70,140.38750000000002,19.48333333333333,0.0,64.95833333333333,140.38750000000002,63.20679012345679
2020/2/12,70,114.14166666666667,21.545833333333334,0.0,64.33333333333333,114.14166666666667,76.70987654320989
2020/2/13,70,136.83333333333334,21.912499999999998,2.6,73.375,136.83333333333334,55.21296296296296
2020/2/14,70,105.90833333333335,21.245833333333334,1.5999999999999999,79.70833333333333,105.90833333333335,58.608695652173914
2020/2/15,70,94.95833333333333,22.5625,0.0,77.0,94.95833333333333,42.884199134199136
2020/2/16,70,91.08333333333333,14.075000000000001,4.4,77.29166666666667,91.08333333333333,22.186147186147185
2020/2/17,70,66.0,11.583333333333334,0.0,58.041666666666664,66.0,45.183982683982684
2020/2/18,70,88.29166666666667,13.366666666666667,0.0,57.791666666666664,88.29166666666667,34.4438170525127
2020/2/19,70,92.83333333333333,17.754166666666666,0.0,59.75,92.83333333333333,29.356060606060606
2020/2/20,70,82.45833333333333,17.666666666666668,0.0,76.33333333333333,82.45833333333333,33.00865800865801
2020/2/21,70,181.75,20.325,0.0,71.54166666666667,181.75,58.23765432098766
2020/2/22,70,118.79166666666667,18.520833333333332,0.6000000000000001,80.95833333333333,118.79166666666667,76.49382716049382
2020/2/23,70,84.875,18.683333333333334,0.0,73.33333333333333,84.875,63.7938808373591
2020/2/24,70,86.29166666666667,22.8125,0.0,66.54166666666667,86.29166666666667,36.66125541125541
