MonitorDate,SiteId,CO,PM10,PM25,SO2,AQI
2020/1/1,70,4.0814393939393945,13.657407407407408,17.857142857142858,1.148809523809524,17.857142857142858
2020/1/2,70,5.56344696969697,16.165123456790123,20.562770562770563,0.546583850931677,20.562770562770563
2020/1/3,70,8.328598484848484,14.274691358024691,26.92099567099567,1.273809523809524,26.92099567099567
2020/1/4,70,7.163825757575758,15.393518518518519,28.814935064935064,1.9583333333333335,28.814935064935064
2020/1/5,70,4.403409090909091,12.114197530864198,25.703463203463205,2.0773809523809526,25.703463203463205
2020/1/6,70,16.200592885375492,42.74691358024691,83.62345679012346,2.950310559006211,83.62345679012346
2020/1/7,70,14.692234848484848,36.574074074074076,77.35802469135803,3.7023809523809526,77.35802469135803
2020/1/8,70,7.918388429752067,28.26086956521739,47.007340485601354,1.6493506493506493,47.007340485601354
2020/1/9,70,7.12594696969697,28.896604938271604,42.07251082251082,1.9761904761904765,42.07251082251082
2020/1/10,70,9.895833333333332,26.85185185185185,41.80194805194805,3.4107142857142856,41.80194805194805
2020/1/11,70,10.326704545454545,28.125,54.56481481481482,2.2142857142857144,54.56481481481482
2020/1/12,70,6.178977272727273,17.978395061728396,32.60281385281385,1.9702380952380953,32.60281385281385
2020/1/13,70,6.3068181818181825,27.56734006734007,48.701298701298704,3.1607142857142856,48.701298701298704
2020/1/14,70,8.688446969696969,30.169753086419757,54.78086419753086,2.113095238095238,54.78086419753086
2020/1/15,70,7.684659090909091,21.875,43.83116883116883,2.369047619047619,43.83116883116883
2020/1/16,70,12.320075757575758,25.077160493827158,41.66666666666667,2.988095238095238,41.66666666666667
2020/1/17,70,8.821022727272727,10.918209876543209,15.016233766233766,1.7499999999999998,15.016233766233766
2020/1/18,70,6.477272727272727,28.935185185185187,51.54012345679013,2.767857142857143,51.54012345679013
2020/1/19,70,8.77367424242424,27.854938271604937,58.561728395061735,0.6309523809523809,58.561728395061735
2020/1/20,70,9.261363636363637,29.97685185185185,57.91358024691358,1.9226190476190474,57.91358024691358
2020/1/21,70,8.445247933884298,33.13204508856683,73.93880837359099,1.694805194805195,73.93880837359099
2020/1/22,70,18.660037878787875,43.20987654320987,89.56481481481482,4.958333333333333,89.56481481481482
