CO,PM10,PM25,SO2,AQI
0.08363095236093532,0.20980926438407885,0.15936862446497313,0.08885390430087223,0.14655837327358714
0.17678571427561224,0.2688465032749361,0.18915715233444014,0.044255831783149464,0.17680084390052808
0.3505952380656803,0.22434150778525738,0.25916019299283516,0.09811083125475742,0.24787065004150352
0.2773809523727211,0.25068119896460733,0.28001216250146205,0.14880352643962344,0.26904037948036214
0.10386904759977893,0.17347865576342142,0.2457553553965258,0.15761964734455905,0.234261538203492
0.8454063149231196,0.8946412352826,0.8834452131899927,0.22226481220762065,0.8816690528656836
0.7505952381285375,0.7493188010353926,0.8144638087177131,0.27795969774506646,0.8116364514662586
0.32481060603858225,0.5536073926344897,0.4803076341083641,0.12592168535319634,0.4723881227231504
0.2749999999842857,0.5685740236890932,0.4259759493921455,0.1501259445864721,0.41722848588770123
0.4491071427914795,0.5204359672902642,0.4229970966051988,0.25636020156870465,0.4142042388250072
0.476190476429932,0.5504087193787643,0.5635142165971896,0.16775818639634335,0.5568626774212931
0.21547619046197272,0.3115349681923285,0.3217161016288142,0.14968513853752252,0.3113798384698556
0.22351190474151364,0.5372801586283282,0.4989578428374873,0.2378463476609343,0.4913225390913708
0.3732142856929591,0.5985467757775933,0.5658928857966498,0.16026448363825638,0.5592775947918698
0.3101190475879932,0.40326975479469296,0.4453384925623483,0.17921914359497632,0.436886091851101
0.6014880953370578,0.4786557674235926,0.42150767026677466,0.22506297231545266,0.4126921153495481
0.3815476189896259,0.1453224342472075,0.12809067014698358,0.13337531487449994,0.1148037790594111
0.2342261904266157,0.5694822889752362,0.5302128490158291,0.20875314865243005,0.5230538354627572
0.37857142850408165,0.5440508628466071,0.6075195954109732,0.05050377833848283,0.6015386473797601
0.40922619041090136,0.5940054495823,0.6003835880327895,0.14615869021998154,0.5942938954915824
0.35792748914526124,0.6682857482057017,0.7768187843708467,0.12928784064954846,0.7734177604302536
1.0,0.9055404177746286,0.948858613918131,0.37096977333286785,0.9480792782651315
