SiteId,SiteName,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,MonitorValue00,MonitorValue01,MonitorValue02,MonitorValue03,MonitorValue04,MonitorValue05,MonitorValue06,MonitorValue07,MonitorValue08,MonitorValue09,MonitorValue10,MonitorValue11,MonitorValue12,MonitorValue13,MonitorValue14,MonitorValue15,MonitorValue16,MonitorValue17,MonitorValue18,MonitorValue19,MonitorValue20,MonitorValue21,MonitorValue22,MonitorValue23
70,永和,1,二氧化硫,SO2,ppb,2020/5/1,1.2,0.9,0.6,0.8,0.9,1.2,1.3,1.4,1.4,1.7,2.5,3.9,2.8,2.2,2.5,2.5,2.8,3.1,3.9,3.8,2,1.8,1.5,1.4
70,永和,14,溫度,AMB_TEMP,℃,2020/5/1,25.2,24.8,24.5,23.9,23.7,23.4,23.8,24.7,25.3,26.8,28.6,29.9,31.6,31.4,30.6,30,30,29.5,28.4,28,27.5,26.9,26.5,26.3
70,永和,23,雨量,RAINFALL,㎜,2020/5/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,永和,33,細懸浮微粒,PM2.5,μg/m3,2020/5/1,15,17,18,23,23,27,21,21,19,21,38,36,31,28,32,27,29,29,34,36,25,29,21,18
70,永和,4,懸浮微粒,PM10,μg/m3,2020/5/1,28,32,26,28,34,34,33,34,29,35,59,63,47,46,63,55,47,56,66,57,43,42,28,23
70,永和,38,相對濕度,RH,percent,2020/5/1,68,67,67,68,69,70,67,62,64,59,50,47,40,40,44,47,44,44,46,51,63,67,70,70
70,永和,143,小時風速值,WS_HR,m/sec,2020/5/1,0.7,0.7,1,0.8,0.2,0.2,0.8,1,0.5,0.8,0.7,0.5,0.7,1.1,1.7,1.5,1.1,0.8,1.2,0.1,0.5,1,0.9,1
70,永和,144,小時風向值,WD_HR,degrees,2020/5/1,131,128,151,150,133,132,73,130,102,35,312,280,303,10,27,36,29,298,265,32,106,156,157,154
70,永和,3,臭氧,O3,ppb,2020/5/1,29,36,36,37,25,20,19,22,21,25,61,85,90,91,83,57,43,39,47,27,26,18,18,21
70,永和,2,一氧化碳,CO,ppm,2020/5/1,0.65,0.35,0.33,0.3,0.52,0.69,0.98,1.1,0.91,1.3,1.12,1.13,0.94,0.92,1.03,1.1,1.35,1.57,1.34,1.62,1.17,1.22,1.03,0.76
70,永和,6,一氧化氮,NO,ppb,2020/5/1,2.1,2.2,2.3,1.8,3.5,7.1,12,20,18,23,11,7.8,5.7,6,6.1,11,17,17,10,15,9.8,13,9.6,9.7
70,永和,1,二氧化硫,SO2,ppb,2020/5/2,0.7,2.5,2.6,2.4,2.6,3,3.4,3.1,4.4,5.4,5,4.6,4.4,4.3,4.3,4.2,4.2,4.4,4,3.5,3.5,3.4,3.2,3.3
70,永和,2,一氧化碳,CO,ppm,2020/5/2,0.69,0.44,0.41,0.39,0.59,0.85,1.03,0.8,1.15,1.27,1.3,1.17,0.92,0.97,1.12,1.08,1.14,0.88,1.13,0.94,1,0.87,0.76,0.7
70,永和,3,臭氧,O3,ppb,2020/5/2,25,27,26,15,19,11,11,16,27,42,56,69,51,50,53,41,31,46,29,30,26,27,22,32
70,永和,4,懸浮微粒,PM10,μg/m3,2020/5/2,25,25,28,19,22,46,48,32,45,50,55,58,34,40,51,46,46,46,44,44,42,40,38,36
70,永和,6,一氧化氮,NO,ppb,2020/5/2,4.5,1.2,1,3,3.3,5.5,10,12,13,12,9.6,10,11,11,10,12,12,6,11,8.3,5.8,6.8,3.6,2.7
70,永和,14,溫度,AMB_TEMP,℃,2020/5/2,25.9,25.7,25.2,24.9,24.9,24.7,24.9,25.8,27.3,28.9,29.9,31.1,31.4,30.7,30.4,30,29.6,29,28.5,28.1,27.3,26.7,26.1,26
70,永和,23,雨量,RAINFALL,㎜,2020/5/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,永和,33,細懸浮微粒,PM2.5,μg/m3,2020/5/2,20,20,17,11,16,35,30,21,26,33,34,36,22,24,30,19,20,27,21,21,27,30,26,26
70,永和,38,相對濕度,RH,percent,2020/5/2,70,69,71,77,74,74,73,69,62,49,48,47,50,49,47,52,52,51,53,56,62,65,68,68
70,永和,143,小時風速值,WS_HR,m/sec,2020/5/2,1.1,0.8,0.8,0.7,0.4,0.2,0.6,0.8,0.6,0.9,0.7,0.8,2.3,1.9,0.6,0.9,0.6,1.1,0.5,0.7,1.1,1,1.2,0.9
70,永和,144,小時風向值,WD_HR,degrees,2020/5/2,156,145,140,94,161,271,72,109,57,47,4.6,23,34,34,317,26,6.6,264,232,277,148,131,92,140
70,永和,3,臭氧,O3,ppb,2020/5/3,31,24,27,25,21,19,14,20,29,31,34,40,43,38,42,40,22,14,12,9,6.7,4,2.2,2.2
70,永和,144,小時風向值,WD_HR,degrees,2020/5/3,145,127,144,165,122,136,165,124,59,260,274,275,276,273,280,319,30,23,27,59,31,287,62,88
70,永和,143,小時風速值,WS_HR,m/sec,2020/5/3,0.9,0.9,0.9,1.1,0.7,0.9,0.9,0.8,0.9,1.7,1.7,1.9,1.5,1.9,1.8,0.9,2.2,1.6,0.8,0.6,0.4,0.7,0.7,1.1
70,永和,38,相對濕度,RH,percent,2020/5/3,68,72,73,72,73,73,74,69,64,59,57,58,57,57,56,54,62,69,71,72,71,72,73,75
70,永和,33,細懸浮微粒,PM2.5,μg/m3,2020/5/3,26,25,23,25,20,19,19,21,22,14,19,17,15,11,11,12,14,13,13,11,13,21,15,14
70,永和,23,雨量,RAINFALL,㎜,2020/5/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,永和,14,溫度,AMB_TEMP,℃,2020/5/3,25.9,25.4,25.1,25.1,25,25,25.1,26.3,28.2,30.3,31.2,31.5,32,31.9,32.2,32.6,30.8,28.7,27.8,27.6,27.9,27.8,27.6,27.1
70,永和,6,一氧化氮,NO,ppb,2020/5/3,2.2,3.6,2.7,2,2.3,3.2,10,9,9.9,7.3,6.9,5.6,5.6,6.3,4.3,6.2,12,16,16,13,16,21,17,6.1
70,永和,4,懸浮微粒,PM10,μg/m3,2020/5/3,32,35,30,25,24,27,25,27,32,29,32,31,25,26,25,28,28,23,22,19,28,27,24,22
70,永和,2,一氧化碳,CO,ppm,2020/5/3,0.73,0.52,0.37,0.38,0.41,0.46,0.73,0.67,0.91,0.59,0.63,0.64,0.56,0.53,0.45,0.66,0.82,0.84,0.89,0.87,1.07,1.12,0.96,0.58
70,永和,1,二氧化硫,SO2,ppb,2020/5/3,2.3,2.1,1.8,2,2,1.8,2.1,2.1,2.4,2.2,2.1,2.2,2.1,1.8,1.8,2,2.3,2.1,2.2,2,2.3,2.5,2.5,2.3
70,永和,144,小時風向值,WD_HR,degrees,2020/5/4,54,299,300,322,5,317,34,273,268,7.4,275,352,29,33,38,28,26,27,19,299,7,31,328,40
70,永和,23,雨量,RAINFALL,㎜,2020/5/4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,永和,14,溫度,AMB_TEMP,℃,2020/5/4,27.1,27.3,27.1,26.9,26.5,26.3,26.5,27.7,29.2,31,32.5,34,33.9,33,32.3,32.3,31.9,30.8,30,29.6,29,28.5,28.3,28.1
