ID_24,ID_26,ID_28,ID_33,ID_37,ID_42,ID_53,ID_61,ID_63,ID_65,ID_68,ID_70
22.9978355,26.92099567,22.45670996,27.5974026,49.24242424,52.62037037,72.49691358,10.95779221,11.22835498,12.71645022,30.57359307,17.85714286
29.62662338,39.77272727,43.42532468,45.995671,58.02160494,62.66666667,70.76851852,12.8517316,19.48051948,14.61038961,31.52056277,20.56277056
51.32407407,60.83024691,96.26234568,84.91975309,98.31481481,89.24074074,76.81790123,20.02164502,24.62121212,23.53896104,51.75617284,26.92099567
74.65740741,101.2314815,132.4351852,120.7685185,151.0638686,137.0802469,108.8858025,24.48593074,23.80952381,27.86796537,49.91883117,28.81493506
71.09259259,105.6450617,137.2962963,123.5771605,141.1851852,108.5617284,102.1882716,28.95021645,31.52056277,32.33225108,77.46604938,25.7034632
102.3117284,112.7746914,107.3734568,101.7716049,127.3580247,124.7654321,110.9382716,16.36904762,25.16233766,26.24458874,115.5833333,83.62345679
84.8117284,77.68209877,75.73765432,106.941358,106.2932099,108.1296296,105.8611111,31.92640693,24.89177489,34.76731602,93.34567901,77.35802469
53.70061728,58.5617284,57.15740741,64.50308642,74.22530864,86.64814815,99.61111111,43.96645022,44.1017316,48.29545455,58.34567901,45.0487013
58.4537037,60.39814815,77.14197531,62.12654321,86.54012346,97.2345679,103.3765432,33.41450216,43.69588745,46.80735931,53.05246914,42.07251082
57.2654321,60.29012346,77.03395062,76.70987654,99.39506173,98.96296296,105.9691358,24.35064935,29.62662338,26.51515152,62.66666667,41.80194805
60.18209877,65.15123457,71.09259259,75.08950617,113.3148148,107.0493827,103.0524691,39.90800866,23.94480519,35.03787879,60.39814815,54.56481481
31.92640693,39.23160173,30.84415584,32.87337662,59.53395062,58.12962963,74.7654321,22.32142857,21.64502165,16.36904762,39.23160173,32.60281385
54.56481481,58.66975309,54.7808642,56.07716049,73.4691358,70.76851852,75.9537037,15.96320346,17.99242424,23.53896104,58.02160494,46.67207792
58.66975309,60.9382716,56.50925926,55.86111111,83.19135802,83.62345679,77.03395062,30.16774892,23.40367965,31.79112554,58.12962963,54.7808642
59.42592593,68.5,60.9382716,67.74382716,85.89197531,83.94753086,89.45679012,20.02164502,32.1969697,43.69588745,48.7012987,43.83116883
41.26082251,54.67283951,56.07716049,54.02469136,85.13580247,87.62037037,82.00308642,29.49134199,25.83874459,25.97402597,45.31926407,41.66666667
19.48051948,25.7034632,28.95021645,25.43290043,57.04938272,61.47839506,77.46604938,24.48593074,19.20995671,10.41666667,20.83333333,15.01623377
56.50925926,54.45679012,43.1547619,46.13095238,70.66049383,70.22839506,80.92283951,12.98701299,23.67424242,25.56818182,58.88580247,51.54012346
78.5462963,82.75925926,72.49691358,78.11419753,100.5833333,102.3117284,105.7530864,25.83874459,27.86796537,25.29761905,74.44135802,58.5617284
61.47839506,68.93209877,65.90740741,65.25925926,87.94444444,89.02469136,99.39506173,21.64502165,36.7965368,41.3961039,63.74691358,57.91358025
101,86.75617284,80.81481481,80.27469136,113.6388889,113.3148148,121.7407407,35.98484848,64.82716049,68.5,88.05246914,71.30864198
120.0123457,118.9320988,94.75,114.7191358,141.1851852,138.2685185,102.404321,25.7034632,42.20779221,44.64285714,122.9290123,89.56481481
93.88580247,108.6697531,66.0154321,106.4012346,101,87.94444444,77.57407407,22.59199134,24.89177489,40.58441558,92.48148148,65.04320988
63.09876543,102.095679,79.30246914,90.9691358,116.5555556,101.9876543,79.41049383,24.35064935,39.5021645,40.58441558,64.50308642,84.27160494
30.3030303,41.66666667,36.25541126,43.69588745,60.39814815,68.5,84.16358025,19.20995671,33.41450216,29.08549784,24.48593074,24.08008658
8.928571429,15.96320346,11.49891775,11.63419913,23.53896104,30.70887446,36.12012987,22.45670996,21.1038961,14.33982684,11.63419913,15.28679654
13.25757576,16.91017316,10.01082251,8.928571429,17.18073593,18.3982684,25.7034632,29.89718615,14.20454545,16.504329,15.28679654,13.25757576
20.96861472,26.78571429,21.64502165,20.42748918,30.16774892,35.03787879,44.64285714,25.56818182,11.76948052,13.12229437,24.21536797,24.08008658
31.79112554,33.14393939,25.97402597,23.26839827,28.95021645,30.3030303,40.4491342,19.75108225,16.77489177,28.40909091,34.09090909,32.1969697
70.9845679,75.41358025,65.90740741,66.33950617,79.7345679,72.06481481,65.47530864,44.37229437,55.53703704,76.27777778,84.05555556,74.87345679
92.48148148,85.13580247,75.9537037,87.40432099,102.095679,109.5339506,85.02777778,66.23148148,70.9845679,81.13888889,102.2962963,87.72839506
69.7962963,68.17592593,68.71604938,81.57098765,102.7283951,101.4320988,91.40123457,52.94444444,57.69753086,57.91358025,57.2654321,49.6482684
